Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
100,1,1585.8269,6.9288,2256.0000,7.7483,1.3225,7.6165,4.6,0.9643,1.0000,2.98e-05
200,1,1219.6685,10.4107,1728.0000,8.5453,1.2992,10.1166,4.7,0.9597,1.0000,2.92e-05
300,1,559.8834,11.4116,784.0000,8.4599,1.3017,11.1274,4.7,0.9602,1.0000,2.81e-05
400,1,1187.8851,9.4247,1680.0000,9.0577,1.2843,11.0311,4.7,0.9568,1.0000,2.68e-05
