Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
100,1,1621.5673,10.5106,3232.0000,0.3120,7.0599,7.2,1.0000,2.98e-05
200,1,808.7852,8.7338,1608.0000,0.4183,8.6074,7.7,1.0000,2.92e-05
300,1,557.5714,10.1310,1104.0000,0.5059,9.6106,8.6,1.0000,2.81e-05
400,1,717.4304,9.6995,1424.0000,0.5806,10.0447,9.7,1.0000,2.68e-05
500,1,2196.8669,8.9163,4384.0000,0.4087,8.2585,8.4,1.0000,2.50e-05
600,1,1078.3521,11.4414,2144.0000,0.6313,11.3885,10.1,1.0000,2.30e-05
700,2,774.5985,11.2526,1536.0000,0.9722,11.0483,13.2,0.9500,2.08e-05
800,2,369.1091,11.6487,724.0000,1.2847,11.3284,15.5,0.9500,1.84e-05
900,2,490.6817,10.6876,968.0000,1.3379,11.4833,17.1,0.9500,1.59e-05
1000,2,345.2248,11.4482,676.0000,1.5007,11.6893,18.0,0.9500,1.34e-05
1100,2,299.7622,12.2053,584.0000,1.6595,11.1895,18.6,0.9500,1.10e-05
1200,2,573.2539,7.9286,1136.0000,1.2896,11.2792,19.1,0.9500,8.61e-06
1300,3,560.5092,6.5514,1112.0000,1.2335,11.2562,19.3,0.9025,6.44e-06
1400,3,167.6176,11.7048,320.0000,1.7652,11.1561,19.6,0.9025,4.51e-06
1500,3,425.3814,7.8316,840.0000,1.4656,11.2950,19.7,0.9025,2.86e-06
1600,3,191.3097,11.1367,368.0000,1.7413,11.1822,19.8,0.9025,1.56e-06
1700,3,266.8091,10.2859,520.0000,1.6661,11.1625,19.8,0.9025,6.40e-07
1800,3,211.4397,11.4280,408.0000,1.7257,11.1909,19.9,0.9025,1.18e-07
