Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,1053.8115,3.7591,1344.0000,112.6837,0.0861,3.4943,26.3,0.2963,1.0000,2.87e-05
500,1,612.6142,2.1943,664.0000,147.9559,0.8172,2.6337,33.0,0.0804,1.0000,2.50e-05
750,2,277.0050,2.0956,166.0000,160.3763,1.2455,2.5859,35.8,0.0054,0.9500,1.96e-05
1000,2,200.5206,2.1602,55.5000,161.1226,1.2740,2.5871,36.0,0.0009,0.9500,1.34e-05
1250,2,198.9315,2.7133,52.7500,161.1175,1.2738,2.5854,36.0,0.0010,0.9500,7.50e-06
1500,3,228.1353,3.1049,94.5000,161.2038,1.2771,2.5857,36.0,0.0005,0.9025,2.86e-06
1750,3,183.9150,3.3394,31.1250,161.1632,1.2755,2.5858,36.0,0.0007,0.9025,3.28e-07
