Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
1200,2,3.4547,9.1062,-2.2969,0.0500,9.3644,22.0,0.9500,8.61e-06
1220,2,3.1035,8.3726,-2.2656,0.0500,9.3644,22.0,0.9500,8.16e-06
1240,2,38.9579,5.8185,72.0000,0.0486,9.3644,21.5,0.9500,7.72e-06
1260,3,4.3472,10.1335,-1.5391,0.0500,9.3644,22.0,0.9025,7.28e-06
1280,3,3.9076,9.7933,-2.0781,0.0500,9.3644,22.0,0.9025,6.86e-06
1300,3,3.4339,9.0179,-2.2500,0.0500,9.3693,22.0,0.9025,6.44e-06
1320,3,3.3765,8.7937,-2.1406,0.0500,9.3693,22.0,0.9025,6.03e-06
1340,3,4.3132,10.4795,-1.9531,0.0500,9.3693,22.0,0.9025,5.63e-06
1360,3,2.5176,7.5134,-2.5781,0.0500,9.3693,22.0,0.9025,5.25e-06
1380,3,3.6832,9.5165,-2.2500,0.0500,9.3693,22.0,0.9025,4.87e-06
1400,3,2.9242,8.2641,-2.5156,0.0500,9.3636,22.0,0.9025,4.51e-06
1420,3,2.3653,7.7556,-3.1250,0.0500,9.3636,22.0,0.9025,4.15e-06
1440,3,4.6656,10.6375,-1.4062,0.0500,9.3636,22.0,0.9025,3.81e-06
1460,3,1.0881,5.5136,-3.4375,0.0500,9.3636,22.0,0.9025,3.48e-06
1480,3,3.8488,9.6758,-2.0781,0.0500,9.3636,22.0,0.9025,3.17e-06
1500,3,3.5363,9.5352,-2.5625,0.0500,9.3438,22.0,0.9025,2.86e-06
1520,3,3.3674,9.1817,-2.5469,0.0500,9.3438,22.0,0.9025,2.58e-06
1540,3,3.2594,8.7626,-2.3438,0.0500,9.3438,22.0,0.9025,2.30e-06
1560,3,4.2775,10.2752,-1.8203,0.0500,9.3438,22.0,0.9025,2.04e-06
1580,3,4.0983,9.3856,-1.2891,0.0500,9.3438,22.0,0.9025,1.80e-06
1600,3,2.5500,7.9844,-2.9844,0.0500,9.3518,22.0,0.9025,1.56e-06
1620,3,4.6280,11.3435,-2.1875,0.0500,9.3518,22.0,0.9025,1.35e-06
1640,3,3.6965,9.6680,-2.3750,0.0500,9.3518,22.0,0.9025,1.15e-06
1660,3,4.1146,10.3791,-2.2500,0.0500,9.3518,22.0,0.9025,9.63e-07
1680,3,4.4595,10.6550,-1.8359,0.0500,9.3518,22.0,0.9025,7.94e-07
1700,3,2.7877,7.9597,-2.4844,0.0500,9.3427,22.0,0.9025,6.40e-07
1720,3,2.3181,7.7394,-3.2031,0.0500,9.3427,22.0,0.9025,5.03e-07
1740,3,3.5900,9.3769,-2.2969,0.0500,9.3427,22.0,0.9025,3.82e-07
1760,3,3.7728,9.2816,-1.8359,0.0500,9.3427,22.0,0.9025,2.78e-07
1780,3,3.4986,8.6706,-1.7734,0.0500,9.3427,22.0,0.9025,1.90e-07
1800,3,5.3528,12.2853,-1.6797,0.0500,9.3445,22.0,0.9025,1.18e-07
1820,3,2.4021,7.6885,-2.9844,0.0500,9.3445,22.0,0.9025,6.36e-08
1840,3,1.8206,6.4006,-2.8594,0.0500,9.3445,22.0,0.9025,2.58e-08
1860,3,3.4499,9.1748,-2.3750,0.0500,9.3445,22.0,0.9025,4.74e-09
