Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Validation Loss,Avg Active Layers,Gumbel Temp,LR
20,1,936.7960,9.5281,1864.0000,0.0320,,15.5,1.0000,3.00e-05
40,1,288.1252,8.1673,568.0000,0.0415,,19.0,1.0000,3.00e-05
60,1,166.3350,10.5783,322.0000,0.0459,,20.5,1.0000,2.99e-05
80,1,81.6083,13.1220,150.0000,0.0474,,21.0,1.0000,2.99e-05
100,1,15.9863,11.4975,20.3750,0.0500,11.7764,21.2,1.0000,2.98e-05
120,1,33.8074,11.5176,56.0000,0.0486,11.7764,21.5,1.0000,2.97e-05
140,1,121.5608,11.0328,232.0000,0.0444,11.7764,20.0,1.0000,2.96e-05
160,1,80.3583,13.6219,147.0000,0.0474,11.7764,21.0,1.0000,2.95e-05
180,1,11.0969,11.7187,10.3750,0.0500,11.7764,22.0,1.0000,2.93e-05
200,1,12.6095,11.1189,14.0000,0.0500,10.4290,21.6,1.0000,2.92e-05
