Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,3.9711642265319824,2.601895889043808,13.489287376403809,15.0,0.42
1,100,10.708532333374023,2.5998440194129944,13.461637496948242,15.0,0.42
1,150,8.113690376281738,2.6001414704322814,13.465643882751465,15.0,0.42
1,200,9.212383270263672,2.598359475135803,13.441670417785645,15.0,0.42
1,250,3.8758039474487305,2.5964446413516997,13.41595458984375,15.0,0.42
1,300,7.850325107574463,2.5962055909633635,13.41274642944336,15.0,0.42
1,350,4.560873508453369,2.593161039352417,13.37197494506836,15.0,0.42
1,400,5.60607385635376,2.592264931201935,13.359996795654297,15.0,0.42
1,450,6.312324047088623,2.5914327681064604,13.348884582519531,15.0,0.42
1,500,7.758647441864014,2.592315855026245,13.360677719116211,15.0,0.42
1,550,6.593900680541992,2.5910799729824068,13.344175338745117,15.0,0.42
1,600,4.963424205780029,2.5928369975090027,13.367643356323242,15.0,0.42
1,650,4.524197101593018,2.5942060339450834,13.385955810546875,15.0,0.42
1,700,5.557244777679443,2.601203895807266,13.47995662689209,15.0,0.42
1,750,5.772650241851807,2.6118832957744598,13.624687194824219,15.0,0.42
1,800,6.334090232849121,2.613105262517929,13.641345977783203,15.0,0.42
1,850,4.368259906768799,2.6145914185047148,13.661632537841797,15.0,0.42
1,900,4.917180061340332,2.6317067444324493,13.897468566894531,15.0,0.42
1,950,3.6846258640289307,2.6287792646884918,13.856842994689941,15.0,0.42
1,1000,4.853039264678955,2.635410100221634,13.949031829833984,15.0,0.42
1,1050,5.063186168670654,2.646599524021149,14.105990409851074,15.0,0.42
1,1100,4.173195838928223,2.659953099489212,14.295619010925293,15.0,0.42
1,1150,4.756903648376465,2.6307722997665404,13.884489059448242,15.0,0.42
1,1200,4.2379608154296875,2.637012768983841,13.971405029296875,15.0,0.42
1,1250,4.0909929275512695,2.6331980884075166,13.91821002960205,15.0,0.42
1,1300,2.7243340015411377,2.6384879398345946,13.992032051086426,15.0,0.42
1,1350,4.774444580078125,2.632261506319046,13.905180931091309,15.0,0.42
1,1400,5.969807147979736,2.630262849330902,13.87741756439209,15.0,0.42
