Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,6.958825588226318,2.535752455393473,12.62592887878418,18.0,0.5
1,100,6.87067174911499,2.547731463871305,12.778082847595215,18.0,0.5
1,150,3.916105270385742,2.57462705884661,13.126421928405762,18.0,0.5
1,200,6.528948783874512,2.628650555534968,13.855062484741211,18.0,0.5
1,250,4.044638156890869,2.622463309575641,13.769599914550781,18.0,0.5
1,300,4.307346820831299,2.645063381346445,14.084338188171387,18.0,0.5
1,350,3.7275147438049316,2.6195841970897855,13.730011940002441,18.0,0.5
1,400,5.071359634399414,2.617088965007237,13.69579792022705,18.0,0.5
1,450,3.4253129959106445,2.623775361076234,13.787677764892578,18.0,0.5
1,500,5.694865703582764,2.60661714796036,13.553125381469727,18.0,0.5
1,550,4.071654319763184,2.660786889848255,14.30754280090332,18.0,0.5
1,600,3.7769775390625,2.6068207006605846,13.555882453918457,18.0,0.5
2,650,3.342130422592163,2.5677533641694086,13.036502838134766,18.0,0.5
2,700,4.725335597991943,2.575343654269264,13.13582992553711,18.0,0.5
2,750,4.378206253051758,2.58927445563059,13.32010269165039,18.0,0.5
2,800,3.7562317848205566,2.637534077205355,13.978692054748535,18.0,0.5
2,850,4.397952079772949,2.5600088210332963,12.935930252075195,18.0,0.5
2,900,5.248091220855713,2.568098950007605,13.041009902954102,18.0,0.5
2,950,4.226692199707031,2.598334679527888,13.441336631774902,18.0,0.5
2,1000,4.01369047164917,2.566993433331686,13.02660083770752,18.0,0.5
2,1050,3.813231945037842,2.5526917851160444,12.841623306274414,18.0,0.5
2,1100,3.777121067047119,2.5539018615843756,12.857173919677734,18.0,0.5
2,1150,3.5227553844451904,2.565820750736055,13.011332511901855,18.0,0.5
2,1200,5.318775177001953,2.622792841896178,13.774140357971191,18.0,0.5
2,1250,3.1704230308532715,2.599069315289694,13.451213836669922,18.0,0.5
3,1300,4.832854270935059,2.545341862572564,12.747586250305176,18.0,0.5
3,1350,4.106744289398193,2.5623019725557357,12.965628623962402,18.0,0.5
3,1400,5.167875289916992,2.5259364767680093,12.502596855163574,18.0,0.5
3,1450,3.423962354660034,2.5253797239727445,12.495638847351074,18.0,0.5
3,1500,3.5754902362823486,2.5317244756789434,12.575172424316406,18.0,0.5
3,1550,3.449753999710083,2.4929468745277044,12.096871376037598,18.0,0.5
3,1600,3.680500030517578,2.518095610633729,12.404949188232422,18.0,0.5
3,1650,5.006397724151611,2.5528975252121215,12.844265937805176,18.0,0.5
3,1700,4.100128650665283,2.564857320180015,12.998802185058594,18.0,0.5
3,1750,4.427757740020752,2.5548779472472174,12.869729042053223,18.0,0.5
3,1800,3.092409372329712,2.5180098764480108,12.403886795043945,18.0,0.5
3,1850,3.8043606281280518,2.504554964247204,12.23811149597168,18.0,0.5
