Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,1.1874,2.3031,0.0405,0.4681,0.0270,2.3714,11.0,0.6324,1.0000,2.87e-05
500,1,1.0884,2.2377,0.0260,0.3989,0.0471,2.3308,11.0,0.7068,1.0000,2.50e-05
750,2,1.1939,2.3255,0.0216,0.4811,0.0240,2.3065,11.0,0.6191,0.9500,1.96e-05
1000,2,1.1664,2.1936,0.0229,0.4923,0.0216,2.2928,11.0,0.6077,0.9500,1.34e-05
1250,2,1.1011,2.2659,0.0232,0.4051,0.0450,2.2848,11.0,0.6999,0.9500,7.50e-06
1500,3,1.0771,2.1432,0.0220,0.4187,0.0406,2.2811,11.0,0.6849,0.9025,2.86e-06
1750,3,1.0636,2.2660,0.0251,0.3662,0.0592,2.2798,11.0,0.7442,0.9025,3.28e-07
