Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,2.0261,2.2302,1.1797,0.5328,0.0202,2.4449,24.3,0.1990,1.0000,2.87e-05
500,1,2.1313,2.8240,1.3516,0.3388,0.0028,2.3824,20.5,0.4751,1.0000,2.50e-05
750,2,2.8916,2.2692,2.7344,0.2967,0.0120,2.3579,20.1,0.5551,0.9500,1.96e-05
1000,2,1.8009,1.9662,1.1016,0.4415,0.0036,2.3423,19.8,0.3157,0.9500,1.34e-05
1250,2,1.9461,1.8897,1.5391,0.3011,0.0107,2.3365,19.7,0.5463,0.9500,7.50e-06
1500,3,2.3332,2.6381,1.6719,0.3699,0.0003,2.3322,19.7,0.4225,0.9025,2.86e-06
1750,3,2.2074,2.1957,1.7734,0.3065,0.0092,2.3339,19.8,0.5354,0.9025,3.28e-07
