Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,0.9364,2.0845,0.0569,0.2713,0.0001,2.3890,10.9,0.3837,1.0000,2.87e-05
500,1,1.0213,2.7124,0.0298,0.1867,0.0294,2.2883,10.9,0.6424,1.0000,2.50e-05
750,2,1.0467,2.8047,0.0267,0.1866,0.0295,2.2646,10.9,0.6431,0.9500,1.96e-05
1000,2,0.9326,2.4158,0.0295,0.1873,0.0287,2.2582,10.9,0.6397,0.9500,1.34e-05
1250,2,0.8013,1.9783,0.0277,0.1884,0.0274,2.2568,10.9,0.6341,0.9500,7.50e-06
1500,3,0.8224,2.0214,0.0369,0.1903,0.0254,2.2506,10.9,0.6252,0.9025,2.86e-06
1750,3,0.8474,2.1662,0.0292,0.1772,0.0446,2.2539,10.9,0.6987,0.9025,3.28e-07
