Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,1.2155,2.5103,0.0753,0.4097,0.0435,2.4135,11.0,0.6948,1.0000,2.87e-05
500,1,1.1072,2.2438,0.0678,0.3867,0.0514,2.3686,11.0,0.7206,1.0000,2.50e-05
750,2,1.1777,2.5146,0.0555,0.3844,0.0522,2.3389,11.0,0.7231,0.9500,1.96e-05
1000,2,1.1828,2.3855,0.0523,0.4306,0.0370,2.3223,11.0,0.6720,0.9500,1.34e-05
1250,2,1.1307,2.1707,0.0313,0.4576,0.0296,2.2941,11.0,0.6434,0.9500,7.50e-06
1500,3,1.0840,2.3954,0.0267,0.3467,0.0675,2.2854,11.0,0.7673,0.9025,2.86e-06
1750,3,1.1962,2.5326,0.0256,0.4185,0.0406,2.2836,11.0,0.6851,0.9025,3.28e-07
