Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,2.2453815937042236,2.3197085857391357,10.172709465026855,28.0,0.0
1,100,2.202216625213623,2.2420714033974543,9.412808418273926,28.0,0.0
1,150,2.228490114212036,2.196337434980604,8.992019653320312,28.0,0.0
1,200,1.9916578531265259,2.1809064225545005,8.854329109191895,28.0,0.0
1,250,1.9887309074401855,2.173914797722347,8.792638778686523,28.0,0.0
1,300,2.0932817459106445,2.1691105422519503,8.750497817993164,28.0,0.0
1,350,1.9554177522659302,2.1643775644756498,8.70917797088623,28.0,0.0
1,400,2.254840850830078,2.1606141101746332,8.67646312713623,28.0,0.0
1,450,2.162454605102539,2.15942593037136,8.66616153717041,28.0,0.0
1,500,2.202450752258301,2.1576104504721507,8.650442123413086,28.0,0.0
1,550,2.179809093475342,2.155249343978034,8.63004207611084,28.0,0.0
1,600,2.2080066204071045,2.1538280646006265,8.617785453796387,28.0,0.0
2,650,2.126434326171875,2.1551460935955955,8.629151344299316,28.0,0.0
2,700,2.217357873916626,2.154403362955366,8.6227445602417,28.0,0.0
2,750,2.038810968399048,2.1529055606751215,8.609837532043457,28.0,0.0
2,800,2.1844546794891357,2.1528715822431774,8.609546661376953,28.0,0.0
2,850,2.1277973651885986,2.152734497236827,8.608366012573242,28.0,0.0
2,900,1.8421783447265625,2.151718542689369,8.599625587463379,28.0,0.0
2,950,2.0253264904022217,2.152586335227603,8.607089042663574,28.0,0.0
2,1000,2.102761745452881,2.152530030598716,8.606605529785156,28.0,0.0
2,1050,2.0250144004821777,2.15095747652508,8.593083381652832,28.0,0.0
2,1100,1.9958927631378174,2.1504907305278476,8.589072227478027,28.0,0.0
2,1150,2.2054054737091064,2.148746475340828,8.574104309082031,28.0,0.0
2,1200,2.1017558574676514,2.148954679095556,8.575888633728027,28.0,0.0
2,1250,2.303140640258789,2.1487895496307856,8.574474334716797,28.0,0.0
3,1300,1.964908480644226,2.1505617073604038,8.589682579040527,28.0,0.0
3,1350,2.0185627937316895,2.1511757998239425,8.594958305358887,28.0,0.0
3,1400,2.2266740798950195,2.1507066526110212,8.590928077697754,28.0,0.0
3,1450,2.246948719024658,2.1510846728370305,8.594175338745117,28.0,0.0
3,1500,2.027581214904785,2.1510778665542603,8.594115257263184,28.0,0.0
3,1550,1.8562407493591309,2.151340060763889,8.596369743347168,28.0,0.0
3,1600,2.1099395751953125,2.151228704149761,8.595413208007812,28.0,0.0
3,1650,2.0233938694000244,2.150349106107439,8.58785629272461,28.0,0.0
3,1700,2.2265994548797607,2.150421763223315,8.588480949401855,28.0,0.0
3,1750,2.103083848953247,2.149799838898674,8.58314037322998,28.0,0.0
3,1800,2.096843957901001,2.1494672014599754,8.580286026000977,28.0,0.0
3,1850,2.094982624053955,2.1500968327597967,8.58569049835205,28.0,0.0
