Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,2.3959,2.3131,1.8438,0.4129,0.0010,2.4486,25.1,0.3564,1.0000,2.87e-05
500,1,2.3256,2.7754,1.6797,0.3211,0.0058,2.3848,20.4,0.5073,1.0000,2.50e-05
750,2,2.4459,3.0931,1.7422,0.2992,0.0113,2.3549,20.1,0.5501,0.9500,1.96e-05
1000,2,1.8604,2.1648,1.1953,0.3750,0.0001,2.3397,19.9,0.4142,0.9500,1.34e-05
1250,2,2.5948,1.7146,2.5469,0.2992,0.0113,2.3315,19.9,0.5501,0.9500,7.50e-06
1500,3,2.4422,2.4997,2.0000,0.2938,0.0130,2.3317,19.8,0.5612,0.9025,2.86e-06
1750,3,1.8144,2.1806,1.0938,0.3946,0.0001,2.3301,19.8,0.3836,0.9025,3.28e-07
