Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,1.3758,2.3183,0.3105,0.4626,0.0186,2.3053,25.4,0.2072,1.0000,2.87e-05
500,1,1.0513,2.2645,0.2031,0.2294,0.0296,2.2348,14.8,0.6432,1.0000,2.50e-05
750,2,1.0445,2.2159,0.1611,0.2669,0.0100,2.2248,14.6,0.5412,0.9500,1.96e-05
1000,2,1.0786,2.4170,0.1582,0.2427,0.0208,2.2173,14.6,0.6038,0.9500,1.34e-05
1250,2,0.9539,2.0969,0.1572,0.2150,0.0428,2.2139,14.6,0.6924,0.9500,7.50e-06
1500,3,1.0827,2.4271,0.1523,0.2481,0.0178,2.2122,14.6,0.5889,0.9025,2.86e-06
1750,3,1.0288,2.3128,0.1553,0.2260,0.0323,2.2119,14.6,0.6540,0.9025,3.28e-07
