Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,9.383577346801758,2.436445118888976,11.432329177856445,16.0,0.5
1,100,7.95154333114624,2.4179022993360246,11.22229290008545,16.0,0.5
1,150,4.450185298919678,2.408185992922102,11.113781929016113,16.0,0.5
1,200,4.425909519195557,2.4150882334936234,11.190756797790527,16.0,0.5
1,250,3.876746654510498,2.4226953548098367,11.276212692260742,16.0,0.5
1,300,5.8881306648254395,2.461548483560956,11.72295093536377,16.0,0.5
1,350,5.475861072540283,2.456347045444307,11.662131309509277,16.0,0.5
1,400,6.405707359313965,2.438899291886224,11.460418701171875,16.0,0.5
1,450,3.6310510635375977,2.4466106077981373,11.549137115478516,16.0,0.5
1,500,3.895070791244507,2.424027191268073,11.291239738464355,16.0,0.5
1,550,3.7345218658447266,2.4165069943382624,11.206645965576172,16.0,0.5
1,600,5.900344371795654,2.4444096050565203,11.523743629455566,16.0,0.5
2,650,4.468531608581543,2.4419390682190185,11.495309829711914,16.0,0.5
2,700,3.9316952228546143,2.457951452996996,11.680859565734863,16.0,0.5
2,750,3.3624491691589355,2.424566558429173,11.297330856323242,16.0,0.5
2,800,5.454986572265625,2.4571771470327226,11.671817779541016,16.0,0.5
2,850,4.650582790374756,2.446489587662712,11.547738075256348,16.0,0.5
2,900,4.201775074005127,2.4659307457151867,11.774435043334961,16.0,0.5
2,950,9.156245231628418,2.4854391870044528,12.006393432617188,16.0,0.5
2,1000,4.534848213195801,2.4682401759283885,11.801660537719727,16.0,0.5
2,1050,2.983995199203491,2.4602321575558377,11.70753002166748,16.0,0.5
2,1100,5.032115459442139,2.450839602758014,11.598079681396484,16.0,0.5
2,1150,3.488734245300293,2.4645772396572054,11.758509635925293,16.0,0.5
2,1200,4.211970806121826,2.4525591835143072,11.6180419921875,16.0,0.5
2,1250,5.2464118003845215,2.469452982857114,11.815982818603516,16.0,0.5
3,1300,4.020205020904541,2.4602376582130554,11.707594871520996,16.0,0.5
3,1350,4.742136478424072,2.4864086347912986,12.018037796020508,16.0,0.5
3,1400,2.987100124359131,2.4567520523828175,11.66685676574707,16.0,0.5
3,1450,7.123973369598389,2.4707520821737865,11.831340789794922,16.0,0.5
3,1500,5.0353875160217285,2.4928319075750927,12.095481872558594,16.0,0.5
3,1550,3.684457540512085,2.4876170801737953,12.03256893157959,16.0,0.5
3,1600,3.310880661010742,2.492771937733605,12.094755172729492,16.0,0.5
3,1650,4.219262599945068,2.4955669811793735,12.128609657287598,16.0,0.5
3,1700,3.902750253677368,2.467359535277836,11.791271209716797,16.0,0.5
3,1750,3.4319348335266113,2.499793682779585,12.17998218536377,16.0,0.5
3,1800,4.5962042808532715,2.4628122893590776,11.737773895263672,16.0,0.5
3,1850,3.201660633087158,2.4263365666071572,11.31734561920166,16.0,0.5
