Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,2.343010425567627,2.3154481195268177,10.129460334777832,32.0,0.0
1,100,2.0507116317749023,2.23295767912789,9.327411651611328,32.0,0.0
1,150,2.093190908432007,2.215919171060835,9.169835090637207,32.0,0.0
1,200,1.7910068035125732,2.17395417841654,8.792984962463379,32.0,0.0
1,250,2.042799472808838,2.1138679072970437,8.280207633972168,32.0,0.0
1,300,2.1968390941619873,2.1058908871241977,8.214418411254883,32.0,0.0
1,350,2.0276520252227783,2.1028822717212496,8.189742088317871,32.0,0.0
1,400,1.9652327299118042,2.1008477892194475,8.173095703125,32.0,0.0
1,450,1.9959909915924072,2.10068813013652,8.171792030334473,32.0,0.0
1,500,2.0771677494049072,2.0955653852886624,8.130035400390625,32.0,0.0
1,550,2.1191494464874268,2.0966381704996504,8.138763427734375,32.0,0.0
1,600,2.245785713195801,2.094447749001639,8.120955467224121,32.0,0.0
2,650,2.037705421447754,2.094826825081356,8.124034881591797,32.0,0.0
2,700,2.179273843765259,2.095267727261498,8.127616882324219,32.0,0.0
2,750,2.014209032058716,2.0947155460478766,8.123130798339844,32.0,0.0
2,800,1.979391098022461,2.0929032412786333,8.108421325683594,32.0,0.0
2,850,2.1549630165100098,2.0934563080469766,8.112907409667969,32.0,0.0
2,900,2.0674355030059814,2.093871213140942,8.116273880004883,32.0,0.0
2,950,2.0519912242889404,2.093463114329747,8.112963676452637,32.0,0.0
2,1000,2.1845333576202393,2.092146389068119,8.102287292480469,32.0,0.0
2,1050,1.9077844619750977,2.0931579215185985,8.110487937927246,32.0,0.0
2,1100,2.0287065505981445,2.0920471236819314,8.101483345031738,32.0,0.0
2,1150,2.2811853885650635,2.092167087963649,8.102455139160156,32.0,0.0
2,1200,2.166782855987549,2.0936186237940713,8.114224433898926,32.0,0.0
2,1250,1.6048200130462646,2.0938431686825223,8.116046905517578,32.0,0.0
3,1300,1.9316157102584839,2.0957746127295116,8.13173770904541,32.0,0.0
3,1350,1.899125337600708,2.0957414006430004,8.131468772888184,32.0,0.0
3,1400,2.1247286796569824,2.0977670143521023,8.147955894470215,32.0,0.0
3,1450,1.8482846021652222,2.098465525914752,8.153648376464844,32.0,0.0
3,1500,2.101292371749878,2.0996139181984796,8.163017272949219,32.0,0.0
3,1550,1.9431023597717285,2.099420638311477,8.161438941955566,32.0,0.0
3,1600,2.0715980529785156,2.100559887431917,8.170743942260742,32.0,0.0
3,1650,2.146737575531006,2.0989227976117815,8.157377243041992,32.0,0.0
3,1700,2.097137212753296,2.1020045696742953,8.182555198669434,32.0,0.0
3,1750,1.6931796073913574,2.1002423706508817,8.1681489944458,32.0,0.0
3,1800,1.8229776620864868,2.0987353646565996,8.155848503112793,32.0,0.0
3,1850,1.9496791362762451,2.0980193009452215,8.150012016296387,32.0,0.0
