Penalty,Val Loss,Avg Active Layers,Total Layers,Skip Ratio
0.01,4.2943,12.85,22,0.416
0.02,5.0072,13.26,22,0.3973
0.05,4.6665,13.12,22,0.4036
0.1,4.6761,13.0,22,0.4089
0.2,4.9098,12.9,22,0.4135
0.4,4.5974,13.01,22,0.4084
