Global Step,Epoch,Training Loss,CE Loss,KD Loss,Gate Loss,Target Loss,Validation Loss,Avg Active Layers,Skip Ratio,Gumbel Temp,LR
250,1,1.3177,2.4235,0.0469,0.5579,0.0790,2.3443,27.9,0.0024,1.0000,2.87e-05
500,1,1.2995,2.3344,0.0596,0.5575,0.0789,2.2824,27.9,0.0029,1.0000,2.50e-05
750,2,1.2932,2.3355,0.0500,0.5574,0.0788,2.2585,27.9,0.0030,0.9500,1.96e-05
1000,2,1.2330,2.1218,0.0564,0.5569,0.0786,2.2511,27.9,0.0035,0.9500,1.34e-05
1250,3,1.2200,2.0442,0.0713,0.5569,0.0786,2.2475,27.9,0.0035,0.9025,7.50e-06
1500,3,1.2600,2.2223,0.0508,0.5576,0.0789,2.2455,27.9,0.0027,0.9025,2.86e-06
1750,3,1.2309,2.1308,0.0483,0.5577,0.0790,2.2444,27.9,0.0026,0.9025,3.28e-07
