Epoch,Step,Train Loss,Val Loss,Perplexity,Active Layers,Skip Ratio
1,50,2.4517662525177,2.3202373092136686,10.17809009552002,28.0,0.0
1,100,2.3340866565704346,2.2396695727393743,9.390228271484375,28.0,0.0
1,150,2.2322535514831543,2.1970751190942432,8.998655319213867,28.0,0.0
1,200,2.1825075149536133,2.178358066649664,8.831792831420898,28.0,0.0
1,250,2.0035619735717773,2.171779922076634,8.773886680603027,28.0,0.0
1,300,2.030646324157715,2.1676165168247525,8.737434387207031,28.0,0.0
1,350,2.3120288848876953,2.1635798594308278,8.702235221862793,28.0,0.0
1,400,2.166435956954956,2.161213246602861,8.681663513183594,28.0,0.0
1,450,2.370007276535034,2.158215700633942,8.655679702758789,28.0,0.0
1,500,2.0339274406433105,2.155682823014638,8.633783340454102,28.0,0.0
1,550,2.306833267211914,2.1556629983205644,8.633612632751465,28.0,0.0
1,600,2.2344624996185303,2.154516681792244,8.6237211227417,28.0,0.0
2,650,2.16150164604187,2.153178336128356,8.612188339233398,28.0,0.0
2,700,2.045562505722046,2.1533730276047236,8.613863945007324,28.0,0.0
2,750,2.217315912246704,2.1537099017037287,8.616765975952148,28.0,0.0
2,800,2.1477463245391846,2.152227178452507,8.603999137878418,28.0,0.0
2,850,2.1145741939544678,2.152279503761776,8.604451179504395,28.0,0.0
2,900,1.9987338781356812,2.1510574060773093,8.593941688537598,28.0,0.0
2,950,2.33970046043396,2.151104151256501,8.594343185424805,28.0,0.0
2,1000,2.233356237411499,2.1520041662549216,8.602081298828125,28.0,0.0
2,1050,2.049778938293457,2.1494908276058378,8.580488204956055,28.0,0.0
2,1100,1.997815489768982,2.1491529733415633,8.577589988708496,28.0,0.0
2,1150,2.047811985015869,2.148394497614058,8.571086883544922,28.0,0.0
2,1200,2.483631134033203,2.1494902220983354,8.580482482910156,28.0,0.0
2,1250,2.126577854156494,2.1484794881608753,8.57181453704834,28.0,0.0
3,1300,1.892303705215454,2.1491979644412087,8.57797622680664,28.0,0.0
3,1350,1.8662927150726318,2.151036673121982,8.59376335144043,28.0,0.0
3,1400,2.103817939758301,2.1509709888034396,8.5931978225708,28.0,0.0
3,1450,2.0940487384796143,2.150655494795905,8.590487480163574,28.0,0.0
3,1500,2.1317038536071777,2.1499744256337485,8.584638595581055,28.0,0.0
3,1550,2.2266597747802734,2.1503456074094016,8.587825775146484,28.0,0.0
3,1600,2.0378715991973877,2.1501697907372126,8.58631706237793,28.0,0.0
3,1650,1.873288869857788,2.150097366363283,8.585694313049316,28.0,0.0
3,1700,2.073730945587158,2.151918483158899,8.601343154907227,28.0,0.0
3,1750,1.6854772567749023,2.150736994213528,8.591188430786133,28.0,0.0
3,1800,1.983224630355835,2.1497595102067977,8.582794189453125,28.0,0.0
3,1850,2.0535054206848145,2.1510427111671087,8.593814849853516,28.0,0.0
